group,step,n,rollout/p_mean,rollout/p_std,info/H_p_bits_mean,info/H_p_bits_std,info/I_cumulative_bits_mean,info/I_cumulative_bits_std,entropy/action_avg_mean,entropy/action_avg_std,entropy/seq_cumulative_mean,entropy/seq_cumulative_std,reward_info/H_correct_bits_mean,reward_info/H_correct_bits_std,reward_info/H_spec_bits_mean,reward_info/H_spec_bits_std,reward_info/H_combined_bits_mean,reward_info/H_combined_bits_std,reward_info/H_sum_components_bits_mean,reward_info/H_sum_components_bits_std,noise/std_mean,noise/std_std,loss/value_mean,loss/value_std,train/success_rate_mean,train/success_rate_std,val/success_rate_mean,val/success_rate_std
baseline,1,3,0.2662083629331439,0.39388114669260305,0.42136794420864243,0.42531253721134976,0.42136794420864243,0.42531253721134976,2.5729024229155697,0.005443485476075132,38.18288640710637,4.299240587516308,0.0,0.0,0.5408520829708316,0.4683916435424692,0.5408520829708316,0.4683916435424692,0.5408520829708316,0.4683916435424692,0.0,0.0,,,1.0,0.0,1.0,0.0
baseline,2,3,0.26271529598077764,0.42873157421163144,0.3345854654977416,0.4122303786594779,0.7559534097063841,0.8304877564389861,2.605891111410376,0.04572765050180038,43.37416660757896,6.500062608695879,0.0,0.0,0.7849475225500244,0.22935415807323314,0.7849475225500244,0.22935415807323314,0.7849475225500244,0.22935415807323314,0.0,0.0,1.456679105758667,,,,,
baseline,3,3,0.2860064813898291,0.4371717493671335,0.38656975963703566,0.3111207982974673,1.1425231693434197,1.1381434379384685,2.620826709340473,0.06110619579534917,49.436207185656116,4.678289240392709,0.0,0.0,0.6328023369498899,0.15456456594093904,0.6328023369498899,0.15456456594093904,0.6328023369498899,0.15456456594093904,0.0,0.0,1.4474111795425415,0.11191415467496506,,,,
baseline,4,3,0.5681858243805653,0.049884134423492675,0.9816324570062119,0.02378117433977322,2.1241556263496317,1.1420816528562372,2.602982923523468,0.00933503285944088,39.21394014778465,2.2935913844280487,0.0,0.0,0.9067153767668023,0.08265108496832552,0.9067153767668023,0.08265108496832552,0.9067153767668023,0.08265108496832552,0.0,0.0,1.2615657647450764,0.07321980970708787,,,,
baseline,5,3,0.6463248404654655,0.06167511511993781,0.9293275338429238,0.051360339011365906,3.0534831601925556,1.179090815038535,2.595396668585396,0.012952826206496825,35.359890576512534,3.5487931593319106,0.0,0.0,0.9067153767668023,0.08265108496832552,0.9067153767668023,0.08265108496832552,0.9067153767668023,0.08265108496832552,0.0,0.0,1.1800387303034465,0.15568384653281403,,,,
baseline,6,3,0.5869389309980587,0.1776985159287636,0.9154839548512278,0.04377723417044648,3.968967115043783,1.221648443585381,2.5728691725991113,0.054012416226736824,46.01780637360136,6.174015174217786,0.0,0.0,0.9067153767668023,0.08265108496832552,0.9067153767668023,0.08265108496832552,0.9067153767668023,0.08265108496832552,0.0,0.0,1.1983492771784465,0.18451628049352037,,,,
baseline,7,3,0.608605829126478,0.11464308843775933,0.9394012690370324,0.05241654014473892,4.908368384080815,1.2740252856791172,2.5289794857904906,0.06964768501596717,37.73482708016255,3.8363468461104717,0.0,0.0,0.9067153767668023,0.08265108496832552,0.9067153767668023,0.08265108496832552,0.9067153767668023,0.08265108496832552,0.0,0.0,1.259574254353841,0.14722373260296193,,,,
baseline,8,3,0.598289119598634,0.1290292375867086,0.9387822496451239,0.05338768750405847,5.847150633725939,1.3261143389665702,2.509298195271642,0.09921157603114533,34.530842248407914,2.4235083622915368,0.0,0.0,0.9067153767668023,0.08265108496832552,0.9067153767668023,0.08265108496832552,0.9067153767668023,0.08265108496832552,0.0,0.0,1.3348575830459595,0.09923022700373718,,,,
baseline,9,3,0.737348729576674,0.07287837413638645,0.8169631658785862,0.12046754677747949,6.664113799604526,1.2075258880202695,2.4766355796594395,0.07389489680667134,40.020953164354,2.9210116874629763,0.0,0.0,0.6328023369498899,0.154564565940939,0.6328023369498899,0.154564565940939,0.6328023369498899,0.154564565940939,0.0,0.0,1.3138511180877686,0.13820239794027062,,,,
baseline,10,3,0.7599856340337144,0.12508683290634284,0.7490107480749599,0.25216155317188915,7.4131245476794865,0.975284805265552,2.4084194325442643,0.16413096168290964,38.80743922065943,2.4938377089229906,0.0,0.0,0.6514780009730647,0.5646563152363178,0.6514780009730647,0.5646563152363178,0.6514780009730647,0.5646563152363178,0.0,0.0,1.3512704372406006,0.19904726552285346,,,,
baseline,11,3,0.751429282543413,0.14274934431384917,0.7492004443704693,0.28762188237905545,8.162324992049955,0.7222599410294815,2.313868363550079,0.2415687367488992,34.882976465164354,1.668988659755677,0.0,0.0,0.8589967506115249,0.08265108496832552,0.8589967506115249,0.08265108496832552,0.8589967506115249,0.08265108496832552,0.0,0.0,1.3294916947682698,0.13083753108532276,,,,
baseline,12,3,0.7436693608931512,0.1461799181238563,0.7598512820458775,0.28617178334468757,8.922176274095834,0.4916263437868443,2.2928044828378504,0.27919773010896065,33.917368845450824,2.211113688570448,0.0,0.0,0.7220402307030686,0.154564565940939,0.7220402307030686,0.154564565940939,0.7220402307030686,0.154564565940939,0.0,0.0,1.3490362962086995,0.09353169994907798,,,,
baseline,13,3,0.7106633183935815,0.14549394102712204,0.81322143256858,0.24221101980529391,9.735397706664413,0.376628608889064,2.291604081281356,0.29878120473197967,35.52338037910432,6.977379416606571,0.0,0.0,0.6037593748177873,0.5313172532368865,0.6037593748177873,0.5313172532368865,0.6037593748177873,0.5313172532368865,0.0,0.0,1.3068259557088215,0.1434441138588196,,,,
baseline,14,3,0.7373281943684242,0.0717397959021427,0.8182817428251212,0.09715533169920387,10.553679449489536,0.2811596685809053,2.377418586548402,0.23321568000529871,35.804229574030515,1.0652059188211418,0.0,0.0,0.9544340029220796,0.0,0.9544340029220796,0.0,0.9544340029220796,0.0,0.0,0.0,1.3289566040039062,0.1047743949798772,,,,
baseline,15,3,0.6609180398172042,0.10535825033328013,0.9002012955758572,0.09412628132879003,11.453880745065392,0.26482622667962474,2.463738508284705,0.07665023198211772,35.23277477084816,3.638737014644303,0.0,0.0,0.6805209631051672,0.23721565090926455,0.6805209631051672,0.23721565090926455,0.6805209631051672,0.23721565090926455,0.0,0.0,1.268426815668742,0.07584562849958049,,,,
baseline,16,3,0.5532151442307692,0.1871908928706043,0.9228869294527957,0.031309002714835166,12.37676767451819,0.29310406236673503,2.5232244114610705,0.02154500307494668,39.35434125877756,1.663031838608866,0.0,0.0,0.36237629546447403,0.31382707760153017,0.36237629546447403,0.31382707760153017,0.36237629546447403,0.31382707760153017,0.0,0.0,1.2444724639256795,0.08880866876508356,,,,
baseline,17,3,0.46725618131868135,0.3001156774367759,0.8054672223254239,0.23535396862561478,13.182234896843612,0.2965711176998626,2.534291547020763,0.04779793659737589,38.54799488355857,5.362219850829917,0.0,0.0,0.7220402307030686,0.154564565940939,0.7220402307030686,0.154564565940939,0.7220402307030686,0.154564565940939,0.0,0.0,1.297027587890625,0.08015198749299339,,,,
baseline,18,3,0.4956686583605954,0.21688988875446474,0.9061619575309013,0.0883633336490966,14.088396854374514,0.3488345519065193,2.5393812237630407,0.06482260813033441,40.60228404483766,5.832706628053835,0.0,0.0,0.9067153767668023,0.08265108496832552,0.9067153767668023,0.08265108496832552,0.9067153767668023,0.08265108496832552,0.0,0.0,1.2858341534932454,0.053167512294866555,,,,
baseline,19,3,0.49044897514137126,0.19075434242684333,0.927866509669439,0.06512261513380399,15.016263364043953,0.41221651025768935,2.521269129051836,0.011065094599235123,42.222929261959806,4.5116529861005805,0.0,0.0,0.8589967506115248,0.08265108496832552,0.8589967506115248,0.08265108496832552,0.8589967506115248,0.08265108496832552,0.0,0.0,1.2369716167449951,0.06427767290780288,,,,
baseline,20,3,0.5477128598868508,0.08703855631052901,0.9785792422738749,0.03341027577914219,15.994842606317826,0.42776909164636745,2.535319110290087,0.07036921869853326,41.35735045908626,7.152734180802233,0.0,0.0,0.9067153767668023,0.08265108496832552,0.9067153767668023,0.08265108496832552,0.9067153767668023,0.08265108496832552,0.0,0.0,1.2784469525019329,0.049822950635165036,,,,
baseline,21,3,0.6138227987672034,0.028450819423752872,0.9606367761506647,0.020384873430841798,16.955479382468493,0.43657074339046914,2.5153972819817536,0.08282128379599181,39.54895173540101,7.12159698709086,0.0,0.0,0.7849475225500244,0.22935415807323314,0.7849475225500244,0.22935415807323314,0.7849475225500244,0.22935415807323314,0.0,0.0,1.23037584622701,0.05788618077217887,,,,
baseline,22,3,0.6233303170594837,0.06422111776376953,0.9470812604709017,0.053384087497301336,17.902560642939395,0.46233780839818067,2.4614018138858165,0.0942601966466416,40.40423050986156,0.3697196896904457,0.0,0.0,0.8589967506115249,0.08265108496832552,0.8589967506115249,0.08265108496832552,0.8589967506115249,0.08265108496832552,0.0,0.0,1.261398712793986,0.0733112787381739,,,,
